,objek wisata,ulasan,atraksi,amenitas,aksesibilitas
1293,gunung pegat,"Malam Minggu adalah saat yg tepat utk berkunjung, selain nuansa malam yg indah (jika tdk turun hujan) aneka kuliner yg disuguhkan juga lumayan memanjakan lidah kita.
",positif,positif,
1572,pantai kutang,"Tempatnya bagus, ada event space dan pengelola juga siap, sigap membantu",positif,positif,
1990,waduk gondang,Asik buat olahraga sambi refreshing,positif,,
2014,waduk gondang,"Waduk Gondang Sugio Lamongan pemandangan bagus, tempat bermain, perahu, warung, tempat parkir, dll.",positif,positif,
2898,gunung mas mantup,sulit menemukan lokasi objek wisata ini karena tidak ada papan petunjuk ,,,negatif
1102,goa maharani,Recom banget,,,
2220,wbl,"WBL dekat dengan wilayah Bojonegoro, dan mudah dijangkau, serta wahana yang banyak membuat anak-anak sangat terhibur dan menyenangkan.",positif,,positif
1731,pantai lorena,Cocok untuk wisata murah meriah bersama keluarga.,positif,,
105,alun alun,"Alun alun lamongan sangat bagus ,  tempatnya luas dan bnyk permainan anak"" jg a",positif,,
25,alun alun,Semakin indah dan nyaman buat sekedar bersantai sore ato senam pagi,positif,,
2725,wego,Ruang ganti kurang nyaman,,negatif,
129,alun alun,Tempat yg bisa jadi rekomendasi untuk berlibur bersama keluarga dan kerabat .,positif,,
2344,wbl,ada bbrp tempat yg sepertinya kurang disukai pengunjung seperti diabaikan/terbengkalai tdk terawat seperti anjungan wali songo dan anjungan jenis2 serangga.,negatif,,
1274,gunung mas mantup,Akses jalan kurang bagus,,,negatif
2785,wego,perlu ditingkatkan jalan akses masuk ke lokasi banyak berlubang dan sebagian msh jalan makadam.tanda papan petunjuk arah ke Lokasi wisata Wego masih kurang jelas.,,,negatif
2838,wego,Papan petunjuk arah yang rusak dan tidak terawat  informasinya salah ,,,negatif
414,alun alun,Nyaman,,positif,
2626,wbl,"Akses ke wisata bahari Lamongan melalui jalan pantura juga mudah dijangkau dari kota-kota di luar Jawa Timur seperti Jakarta, Semarang, dan Yogyakarta",,,positif
2172,wbl,"Wahananya lengkap, banyak pilihannya. sesuai keinginan. Tiket masuk 55 rb. Tiket terusan 135 rb.",positif,,
55,alun alun,Tempat anak sekolah berlatih kokulikuler dan tempat anak bermain,positif,,
1254,gunung mas mantup,bagus,,,
224,alun alun,"Bagus, Bersih, Dekat Masjid Agung yg juga bersih dan Indah",positif,positif,
1309,gunung pegat,"Mantap, Tempatnya Syahdu, Lokasi Hanya 3km dari Perumahan Syariah Samara 3 Kota Nguter",,,positif
189,alun alun,Sebulan sekali saya selalu rutin goes kesini. Dari sby - alun2 lamongan. Tempatnya lumayan bersih. Nyaman dan sippp pokoknya buat lamongan,,positif,
625,alun alun,"Bagus, bersih, rapi",,positif,
2424,wbl,Pantai yg indah...,positif,,
88,alun alun,"tempatnya rapi, bersih, luas...nyaman .
hiburan murah meriah untuk keluarga . dekat dengan masjid juga tempat kuliner.
nice",positif,positif,
575,alun alun,"Pemandangan nya bagus buat foto, bersih dan dekat dg toko penjual ole2 khas Lamongan",positif,positif,
1073,goa maharani,Tempat wisata dengan berbagai macam hewan cocok untuk anak-anak untuk memperkenalkan berbagai macam binatang,positif,,
2586,wbl,Banyak wahana saat istirahat tidak berfungsi,negatif,,
1772,pantai lorena,Siip tempatnya luas bagus,,,
255,alun alun,Tempatnya nyaman sejuk,,positif,
472,alun alun,Dulu sering lari² pagi disini,positif,,
2360,wbl,"Tempat luas banyak tong sampah lucu bentuknya
Seru wahananya",positif,positif,
1346,gunung pegat,"Suasana nyaman, udara segar dab buka smp malam",positif,,
851,goa maharani,"lingkungannya kurang ramah sama kalangan disable, lansia atau orang yg kurang sehat. Maaf sblmnya ibu saya stroke jdi pergerakannya agak terbatas tapi pengen bgt tau maharani zoo, jadi ya tangga segitu banyaknya beliau ngeluh capek karena mau pake kursi roda juga gak mungkin. Mungkin suatu saat bisa ada peningkatan sarprasnya ya, biar semua kalangan bisa merasakan senengnya dan menikmati liburan di sana. Terimakasihh.. ",,negatif,
639,alun alun,Semakin bersih,,positif,
41,alun alun,untuk pertama kalinya main ke Lamongan dan langsung nyobain bianglala Alun-Alun Lamongan seru banget apalagi tiket naiknya masi gratis wkwk.,positif,,
317,alun alun,Arena permainan dirasa masih baru tp penerangan kurang baik,,negatif,
892,goa maharani,Tempat wisata yang Edukasi sekali,positif,,
2186,wbl,Sarana wisata komplit wahana permainan jg zoo,positif,,
2174,wbl,Cocok untuk wisata lokal mengisi liburan.....ramai dan parkir cukup luas,positif,positif,
650,alun alun,Nyaman dan bersih,,positif,
29,alun alun,"Alun alun lamongan sebagai icon kabupaten Lamongan, tempat wisata keluarga dan juga bisa menjadi wahana tempat permainan anak. Di alun-alun lamongan juga ada sarana untuk kegiatan olahraga.",positif,positif,
2491,wbl,Menyenangkan,,,
1618,pantai kutang,Pantai nya mantap dan nyaman buat refreshing bareng keluarga,positif,,
1922,pantai lorena,Mantul,,,
1379,gunung pegat,"Tempatnya bagus,bagus buat liat sunset,ada juga yg jualan sekarang,buat tempat foto"" jg oke,ada gazebonya juga,juga bisa buat tempat nge camp,tapi jalannya susah banget,berkelok"" sama nikung bgt",positif,positif,negatif
2673,wego,Pagi pagi gowes ke sini masuk nggak bayar karena satpam yang baik hati bolehin masuk karena blom buka,positif,,
1267,gunung mas mantup,Cocok tuk bersantai tenangkan fikiran,positif,,
1596,pantai kutang,"Eksotis untuk selfie, rindang, sejuk, pandangan luas sambil duduk di atas laut",positif,,
710,alun alun,Tempat yg menyenangkan bnyk permainan anak gratis.. Lebih seneng lg karna bnyk burung dara yg terbang bebas menambah asri alami,positif,,
2862,goa maharani,puas dengan kondisi jalan yang tidak rusak,,,positif
2690,wego,Asri dan asyik untuk tamasya,positif,,
1308,gunung pegat,"Untuk pertama kali nya kesana saat malam HT tidak kalah indah nya dengan nuansa Pgi dan sore Hr... Untuk tracking Tdk hrs jln kaki masih bisa menggunakan kndaraan..
Awal yg baik untuk tmn2 yg suka jelajah alam bisa ngecamp disini..",positif,,positif
616,alun alun,Bersih,,positif,
2729,wego,Panaaaaassss sumukkk,negatif,,
202,alun alun,"Taman alun"" kota lamaongan kurang di rwat jadi tidak sedap d pandang,mainan komidi putarnya rusak tidak segera d perbaiki sehingga tidak bisa d nikmati.kolam air mancur dindingnya berlumut,tidak di bersihkan oleh unit lingkungan hidup.lampu banyak yg padam,sehingga d khawatirkan terjadi tindakan asusila.",,negatif,
878,goa maharani,"Tempat rekreasi yang menarik, keluarga pasti senang berkunjung di sana, cocok buat anak-anak karena anak-anak belajar banyak dari satwa-satwa asli Nusantara dan negara negara seperti yang ada di benua Australia, Eropa, dan Afrika.
Spot foto juga bagus. Anda dapat menikmati hiburan pertunjukan gajah dan burung disana.",positif,,
222,alun alun,"Sambil nunggu berbuka main ke alun-alun Lamongan dulu. Setelah direnovasi, Alun-Alun Kota Lamongan menjadi lebih indah",positif,,
429,alun alun,Indah,positif,,
2810,wbl,"Jalan yang rata dan tidak bergelombang, namun fasilitas di objek wisata ini sangat mengecewakan. Toilet yang kotor dan minimarket yang tidak lengkap",,negatif,positif
1679,pantai kutang,"Pantai Keren , akses mudah",positif,,positif
353,alun alun,"Tempatnya adeeemm dan nyaman, inilah surga yang tersembunyi di Lamongan",positif,,
1174,gunung mas mantup,"Suka bgt.. Instagramable, banyak spot foto dengan kata2 puitis.. rumah Chinese, dan mainan anak. Tiket masuk 5k/org masih ada beberapa tempat yang akan di bangun",positif,,
1453,gunung pegat,Pemandangan nya sangat bagus dan bisa untuk memanjakan mata,positif,,
2704,wego,"Cukup terjangkau, bagi keluarga ekonomi menengah ke bawah",positif,,
2730,wego,Lokasi wisata alam murah meriah,positif,,
683,alun alun,Nyamann bagus bersih sejukk,positif,positif,
2052,waduk gondang,"Bagus, tempatnya sejuk & nyaman",positif,positif,
327,alun alun,Taman bermainnya ramah anak,positif,,
1727,pantai lorena,Pemandangan nya itu lo serta kulinernya,,,
1688,pantai lorena,"Lokasi pantai sangat dekat dengan jalan raya Daendles. Bisa main air alias nyemplung disini, ombaknya tidak terlalu besar, kalau lagi pasang yaa cukup lihat2 pantai di trotoar jalan saja yaa.
Tidak ada tiket masuk kalau mau main di pantai ini",positif,,positif
134,alun alun,Bersih dan terawat,,positif,
1487,gunung pegat,Pemandangannya indah dan suasananya asri,positif,,
853,goa maharani," rute atau arah yang sedikit rumit meskipun sudah disediakan peta, saya agak kesusahan saat mau mengunjungi satu demi satu hewan yang ada karena pasti ada yang terlewati.",,,negatif
1337,gunung pegat,View keren apalagi pemandangan di sore hari menjelang magrib,positif,,
2323,wbl,Untuk wahana yang ada diwbl rata² untuk dewasa..yang anak² nggak begitu banyak..,negatif,,
2478,wbl,Mantap,,,
1448,gunung pegat,Wisata baru tempatnya enak buat selfi liat sunrise sunset,positif,,
2232,wbl,Luar biasa,,,
56,alun alun," sarana untuk cuci tangan tidak berfungsi.

Jadi buat yang mau nongkrong disana jangan lupa bawa hand sanitizer dan tisu sendiri ya...",,negatif,
2823,gunung pegat,Tidak ada fasilitas petugas informasi yang tersedia di objek wisata ini.,,negatif,
442,alun alun,"Mantul,...",,,
1602,pantai kutang,"Tempat asyik bersantai, menacing menikmati tepian laut...",positif,,
2764,wego,Masa pandemi agak sepi,,,
2276,wbl,"Good place for recreation..
Nyaman buat klg dg baby n balita juga utk lansia krn minim tangga.. Dekat dg pujasera di setiap wahana...
Wahana utk remaja ekstreembroo...
Dg htm terjangkau n toilet yg bersih n lahan parkir yg luas Wes pokoke view e apik dan tidak mengecewakan ...",positif,positif,
741,alun alun,"Alun alunnya nyaman, banyak tempat untuk pengunjung duduk santai... Sangat tertata rapi, bersih dan benar benar bisa dijadikan tempat melepas lelah... Banyak penjual kaki lima di sekitar alun alun, menambah kenyamanan publik dalam memanfaatkan fasum ini. Disediakan juga area bermain anak seperti roda putar yg dihias lampu led,menambah keindahan alun alun lamongan. ",positif,positif,
562,alun alun,"Bersih, lumayan nyaman, sebaiknya permainan anak-anak seperti ayunan dan yang lainnya segera diperbaiki, bahaya jika besi-besi karatan dan patah dibiarkan saja.",,negatif,
1641,pantai kutang,"Tempat wisata yang bisa untuk alternatif bagi yang bosan dengan perkotaan
Airnya bersih,pasir putih juga bersih
Juga untuk pemburu sunset",positif,,
949,goa maharani,Pas datang pas sepi jadi leluasa bermain sama hewan2,positif,,
26,alun alun,"Alun-alunnya luas dan ada banyak permainan anak-anak, tapi untuk fasilitas olahraganya ada beberapa yang rusak, dan sayang banget biang lalanya tutup",positif,negatif,
15,alun alun,"Tempatnya bagus,banyak mainan anak. Ada bianglala juga",positif,,
989,goa maharani,Lumayan buat hiburan anak anak,positif,,
2298,wbl,"Tempatnya bagus, bersih, banyak wahana.. sayangnya untuk anak dibawah 6th tidak banyak wahana yg bisa dimainkan.. untuk harga tiket bervariasi mulai harga 50rb sampai 100.",negatif,positif,
917,goa maharani,Mantabb luar biasa.. menyenangkan buat anak2,positif,,
2195,wbl,Super menyenangkan. Bahagia banget. Alhamdulillah. Bakalan kangen sama wahana2nya.,positif,,
1712,pantai lorena,"cocok banget kalo pengen nikmatin dawet siwalan sambil nikmatin pemandangan + angin semilir laut
harga makanan+minuman juga murah jadi cocok buat tempat wisata keluarga",positif,positif,
1402,gunung pegat,Wisata kuliner dan pemandangan pegunungan,positif,,
561,alun alun,"Alun-alun kota bersih, rapi dan ada tempat bermain anak",,positif,
1207,gunung mas mantup,Bagus koq.,,,
979,goa maharani,"Tempatnya bersih letaknya juga strategis, langsung berhadapan dengan wisata bahari lamongan (wbl). Ragam hewannya juga beragam. Untuk tiket masuk juga relatif terjangkau. Tiket weekday dan weekend beda ya.",positif,positif,positif
2755,wego,Sangat mengesankan unruk keluarga,positif,,
1661,pantai kutang,Sangat ramah pelayananya,,positif,
219,alun alun,"Bagus,, bersih jg tempatnya",,positif,
268,alun alun,"Banyak permainan untuk anak-anak, ada wahana bianglala juga, terus juga tamannya bagus dan asri,, bagus untuk foto"" Dan juga bagus untuk liburan bersama keluarga..",positif,,
278,alun alun,"Bagus,anak saya suka",,,
2163,wbl,"Saya rasa karena akses dari Surabaya yang cukup jauh ketika keluar dari pintu tol menuju WBL, menyebabkan pengunjung dari Surabaya dan sekitarnya ga banyak, orang lebih suka ke malang, Trawas dan sekitarnya yang lebih mudah akses nya.",,,negatif
2521,wbl,Bagus,,,
1125,goa maharani,Baguss,,,
1721,pantai lorena,"Nyaman untuk bersantai, menikmati pemandangan pantai sambil makan rujak buah paciran",positif,,
2547,wbl,"Wisata yg sangat menarik..apalagi buat anak2 kecil. Saran untuk penyajian makanan panas jangan memakai sterefon,kurang sehat..",positif,negatif,
1160,gunung mas mantup,sangat membosankan dan tidak menarik sama sekali,negatif,,
1782,pantai lorena,Pantai pesisir utara .bersebelahan dengan tanjung kodok/Wisata Bahari Lamongan. cocok untuk rest area .,,,positif
1312,gunung pegat,"Obyek Wisata Alam yg rekomended buat acara keluarga.
Ada tempat nge-camp, Poto Pre Wedd, spot selfi, terutama Pasar Kulinernya tiap Minggu pagi.",positif,positif,
1907,pantai lorena,Indah,positif,,
2317,wbl,Serrruuuu,,,
2569,wbl,"Tempat bagus, bersih, nyaman, cocok dikunjungi bareng keluarga. Tapi sayangnya ada beberapa wahana yg masih tutup. Disediakan tempat cuci tangan sebelum masuk ke area wisata.",positif,positif,
1665,pantai kutang,"tempat yang bagus untuk bekerja
",positif,,
63,alun alun,Mungkin bisa disediakan cafetaria buat umkm2 Lamongan.  Atau ditata lagi tempat buat penjual makanannya. Biar bisa jualan tiap hari kaya di alun-alun Batu Malang.,,negatif,
2522,wbl,Bagus,,,
165,alun alun,Alun-alunnya cukup bersih,,positif,
356,alun alun,"Alun-alun kota yang sangat bersih dan rapi. Bisa ajak anak main disini, tapi tetap harus diawasi karena tempat duduk betonnya bersudut runcing. Tersedia toilet yang sepertinya dikelola dengan baik, sehingga kondisinya tetap bersih dan nyaman.",positif,positif,
1755,pantai lorena,Nyantai sm makan rujak buah pinggir pantai. Nyantai yg ramah dikantong,positif,,
1697,pantai lorena,Tempat santai sejenak sambil menikati pemandangan laut,positif,,
849,goa maharani,"Suasana enak, hewan juga lumayan lengkap. ",positif,,
935,goa maharani,"Koleksi hewan di kebun binatang ini lumayan lah, kalau untuk edukasi ke anak anak masih lumayan menarik, Goa Maharani yang sejak dulu ada masih lumayan menarik untuk dikunjungi",positif,,
28,alun alun,"tempatnya enak bnyak permainn anak dan olahraga, ada komidi putar sperti di alun2 Batu, cm kurang bersih masih bny smpah…",positif,negatif,
1404,gunung pegat,Bagus tempatnya cuma mck dikasih banyak biar tambah enak buat ngecam banyak orang,,negatif,
1952,waduk gondang,"Tempatnya sudah sangat tidak terawat dan terjaga seperti dulu, sekarang banyak sampah berserakan bahkan masuk ke waduknya. Pedagang kaki Lima ada di sepanjang Jalan setapak. Satwa yang di dalam juga tidak terawat hanya tersisa monyet & burung. Terdapat jembatan observatory. Ada juga perahu untuk dinaiki pengunjung tapi tidak terlalu memadai. Untuk waduknya sendiri air di pinggir an terlihat kotor tetap di tengah cukup terlihat bersih.
Tiket masuk 5000
Tempat parkir sangat luas",,negatif,
2640,wego,Tempat wisatanya nyaman. Harga makanan disana juga murah2,,positif,
557,alun alun,Fasilitas sudah lengkap tapi sayang lampugabisa digunakan,,negatif,
2484,wbl,Kenang kenangan,,,
1552,pantai kutang,"Akses jalan mulai bagus,perlu ditambah fasilitas kebersihan seperti tempat sampah dan perlu dijaga kebersihan area wisatanya",,negatif,positif
1882,pantai lorena,pemandangan laut indah,positif,,
1457,gunung pegat,"Muantab untuk rekreasi keluarga, terutama untuk ngecamp di malam hari",positif,,
100,alun alun,"di alun2 lamongan ada kuliner enak nasi uduk dengan berbagai macam pilihan lauk, aku lupa nge foto tapi saya beli waktu malam dan penjual nasi uduk di mobil carry

rekomended sekali",,positif,
676,alun alun,"Rapi, bersih",,positif,
1155,goa maharani,Mantaapp maszeeh,,,
890,goa maharani,"Koleksi hewan cukup lengkap. Lokasi terasa teduh meski di pinggir pantai. Ada pertunjukan hewan di jam2 tertentu. Jika pakai tiket terusan WBL, jangan lupa manage waktu agar bisa puas juga di zoo ini.",positif,,
2832,wego,tidak tersedia wifi,,negatif,
506,alun alun,"Banyak permainan yang rusak, yang di burung dara lantainya banyak yang rusak jadi berbahaya bagi anak-anak
Masih kurang untuk dikatakan tempat ramah anak",,negatif,
997,goa maharani," Tersedia handsabitizer dan spray desinfektan di pintu masuk. Beragam satwa ada disana, bisa berfoto dengan beberapa satwa. Ada play ground gratis untuk anak2. Tersedia banyak stan makanan dan minuman.",positif,positif,
2788,wego,Jalan Dari arah mantup rusak Dan kurang lebar,,,negatif
2593,wbl,"jam buka molor,uda masuk didalam masih blm siap",,negatif,
2053,waduk gondang,Wisata air n Bonbin mini murah meriah kabupaten Lamongan,positif,,
1093,goa maharani,Seru sekali....... Bisa berinteraksi langsung dengan hewan,positif,,
985,goa maharani,Masya Allah indahnya ciptaanMu.,positif,,
275,alun alun,"Bersih alun-alunnya, ramah anak juga. Betah berlama-lama disini",,positif,
2611,wbl,Lokasi d jalan pantura sehingga mempermudah pencarian dan akses ke mana mana,,,positif
2364,wbl,Wisata yang sangat memuaskan...mulai anak anak hingga dewasa,positif,,
