objek wisata,ulasan,atraksi,amenitas,aksesibilitas
wbl,Tetap ramai dan masih terjangkau,positif,,
alun alun,"Sangat bagus untuk anak2, bersih dan indah",positif,positif,
goa maharani,"Sangat cocok buat edukasi anak², tempatnya myaman, harga tiket relatif murah",positif,,
pantai lorena,Wisata tepi pantai pemandangan senja yg bagus banget dan juga pastinya GRATIS,positif,,
alun alun,"
Terkait peralatan bermain, mngkn perlu perawatan lebih,. Da bbrp fasilitas yg rusak.",,negatif,
alun alun,"orang jualan dilarang jadi sepi alun- alunnya, sebenanya cukup bagus tempatnya",,negatif,
gunung pegat,Lumayan bagus buat santai and refreshing,positif,,
wego,"Bagus tempatnya, banyak wahana edukasinya",positif,,
goa maharani,"Destinasi wisata yg cocok untuk anak2 dan keluarga.

Biaya masuknya juga murah.",positif,,
gunung mas mantup,Tempat rekreasi tengah hutan mantup,positif,,
alun alun,"Sangat Fantasi Dan Cocok buat Bermain, Bersantai , Healing, Refresing Dan Lain Lain.",positif,,
gunung mas mantup, ke istana gunung emas.menarik untuk foto2 bersama keluarga ataupun selfi,positif,,
alun alun,Tempatnya bersih,,positif,
gunung pegat,Cocok buat sepedaan. Tapi naiknya nanjak banget bahaya mending dituntun aja deh.....,,,negatif
gunung pegat,"Tempat yang cocok untuk kemah keluarga. Tidak terlalu dingin, air tersedia banyak, murah. Masuk 2 ribu. Kemah 5 ribu per orang. Fasilitas air kamar mandi",positif,positif,
pantai lorena,Pemandanganya bagus banyak pengunjungnya,positif,,
alun alun,ramai,,,
gunung pegat,Memuaskan pemandangan indah,positif,,
alun alun,Tempat yg menyenang kan,positif,,
alun alun,Mantap bersih bagus,positif,positif,
goa maharani,Tempat liburan yang mengedukasi anak terkait satwa yang ada di dunia.,positif,,
wbl,"Tempatnya sangat luas dan menyediakan banyak sekali fasilitas², disana juga menyediakan tempat khusus bagi pengguna kursi roda",,positif,
alun alun,Alun-alunnya cukup bersih,,positif,
waduk gondang,Sangat indah dan sangat menyenagkan tempat yg rekomended untuk dikunjungi,positif,,
gunung pegat,"Senang sekali bisa liat pemandangan diatas bukit..
Seru .. mantap ",positif,,
pantai lorena,Tempatnya asik. Ngopi plus makan rujak khas paciran sambil liatin pantai. Byuuh...,positif,,
wbl,"Wahana wisata yang lengkap serta luas, ada kebun binatangnya juga.. Walaupun tiketnya cukup lumayan mahal tapi sesuai dengan apa yang di dapat..",positif,,
alun alun,Tempat yang bagus untuk refreshing,positif,,
goa maharani,"Sarana Edukasi dan Rekreasi yang pas buat semua Kalangan, cocok buat Liburan Keluarga... Selain bisa melihat Satwa, bisa juga melihat koleksi bebatuan Alami yang ada di Goa Maharani.",positif,,
alun alun,"Bagus, asri",positif,,
gunung mas mantup,Mantap untuk refresing bersama keluarga,positif,,
wbl,Mantap,,,
alun alun,"Suka bangeeet, anti macet-macet club, jalan nya luas, , ada banyak mainan,",positif,,positif
pantai lorena,"Htm gratis tis cuman bayar parkir 2k lumayan cuman pasirnya dikit banyak karangnya,,,tpi yaa lumayan laa",positif,positif,
pantai lorena,Lumayan,,,
pantai lorena,Agak kotor dan kumuh,,negatif,
alun alun,"Bersih, suasana nyaman, ramai sekali sore hari",,positif,
alun alun, fasilitasnya perlu pemeliharaan lebih.,,negatif,
alun alun,"Sama seperti alun alun di kota lainnya, cuma kalau kemarin saya lewat dan mengitari alun alun lamongan tampak lebih bersih dari sampah aja sih, semoga kesadaran dari setiap warga sekitar meningkat akan dampak buruk dari buang sampah sembarangan",,positif,
alun alun,Bagus bersih asri,positif,positif,
wbl,kamar mandi bersih,,positif,
pantai lorena,Bagus bersih cocok untuk bersama keluarga apalagi ada anak kecil,,positif,
alun alun,Bersih dan terawat,,positif,
goa maharani,Edukasi tentang dunia Binatang dan sebuah mahakarya dari Tuhan Gua Maharani,positif,,
alun alun,"saat ini fasilitas-fasilitas banyak yang rusak namun tidak dilakukan perbaikan maupun peningkatan. Kondisi pandemi saat ini mungkin sebagai alasan menunda perbaikannya, namun kami yg pernah menjadi warga Lamongan berharap agar dapat direalisasikan dan tentunya tetap memperhatikan aspek kesehatan.",,negatif,
alun alun, kurang penjual minuman,,negatif,
wbl,Wisata yg terletak di paciran masuk daerah lamongan dulu namanya pantai Tanjung kodok. Sudah ke dua kali kesini..makin banyak wahana tambahan nya. Ada tiket terusan ke goa maharani. Saran ..klo kesini pagi aja biar semua wahana bisa dinikmati dan bisa cuzz ke goa juga karena tutup jam 4 sore.,positif,,
pantai lorena,"Bagus, nyaman tidak ada sampah, gratis",,positif,
wbl,parkiran cukup luas,positif,positif,
wego,Recommend cuma jalan menuju lokasinya banyak yang rusak,,,negatif
waduk gondang,"Tempat yang bagus, dan banyaknya pemandangan+tempat foto",positif,,
wbl,Tempat ini sangat indah dan cocok untuk anak anak,positif,,
goa maharani,"Menariik, ada kombinasi satwa selain suasana goa yg fantasi",positif,,
alun alun,Nasi sego Boran sip....khas banget rasanya,positif,,
alun alun,kurang aesthetic ya untuk pemandangan tamannya,negatif,,
wbl,"Asyik, menarik dan mengedukasi siswa",positif,,
pantai lorena,Tempat yang santai untuk istirahat sejenak ketika menyusuri pantura.,positif,,
alun alun,Rapi bersih nyaman,,positif,
alun alun,Josss.... Sejuk.... Dan bersih....,,positif,
goa maharani,Nyaman.. Bersih.. Wisata edukasi yang cocok buat anak-anak dan keluarga..,positif,positif,
alun alun,"Makanan khas Lamongan ""Sego Boran"" mantaap",positif,,
wbl,tetap bikin penasaran karena selalu ada yang baru disini,positif,,
alun alun,Alun alun lamongan terkesan tertata,,positif,
wego,akses jalan kecil masih banyak yg rusak,,,negatif
goa maharani,Cocok buat wisata keluarga dan edukasi utk anak-anak,positif,,
wbl,"Wisata menawarkan wahana yg bervariatif, namun tetap tdk meninggalkan kesan edukatif bagi anak""",positif,,
alun alun,"Tempat terbaik untuk menikmati malam Minggu, bisa parkir mobil di halaman kantor dinas,",,positif,
alun alun,tempatnya luas banyak aktifitas yang bisa dilakukan (mainan anak juga banyak) tapi kebersihan bisa lebih ditingkatkan,positif,negatif,
alun alun,"Tempatnya bagus bersih banyak spot foto santai sama keluarga, mainan anak juga banya pilihan",positif,positif,
gunung pegat,Spot foto lumayan epik,positif,,
alun alun,. Beberapa arena bermain ada yang kurang terawat kondisinya. Berkarat dan hampir patah. ,,negatif,
alun alun,Tempat yg ramah dan ramai dengan kegiatan anak2 muda,positif,,
alun alun,Buat nongkrong enak juga,positif,,
goa maharani,"Senang sekali.....
Recommended sekali buat berlibur dan mengenalkan anak anak tentang hewan",positif,,
alun alun,"Tempat luas,bersih,komplit,ada taman bermain,dekat masjid,dan kuliner,yang paling menarik bianglalanya free",positif,positif,
gunung pegat,Lumayan,,,
wbl,sejak jaman sd sih kesini..baru ngulas aja.. bagus tempatnya. kek selalu jadi idola permainan²nya apalgi rumah berhantunya. sama auditorium serangga,positif,,
wego,Panaaaaassss sumukkk,negatif,,
alun alun,Sangat bersih dan tertata rapi,,positif,
alun alun,Kalau kesini yg pasti nyari sego boran,positif,,
wbl,"Tempatnya bagus, banyak pilihan wahana. Toilet juga banyak di setiap sudut, yg jelas juga kebersihan terjaga.",positif,positif,
waduk gondang, jarak antara rumah ke tempatnya lumayan jauh ,,,negatif
pantai lorena,"Kurang memuas kan tmpt nya,sangat kotor banyak smpah",,negatif,
goa maharani,Sesuai untuk anak²,positif,,
gunung pegat,"Malam Minggu adalah saat yg tepat utk berkunjung, selain nuansa malam yg indah (jika tdk turun hujan) aneka kuliner yg disuguhkan juga lumayan memanjakan lidah kita.
",positif,positif,
goa maharani,lumayan...,,,
pantai lorena,Tempat lumayan bagus kalau di buat selfie,positif,,
gunung pegat,Indah dan menawan,positif,,
gunung pegat,"Karna pemandangan nya seperti gunung pada umumnya
namun untuk pendakian nya cukup mudah dan bisa menggunakan kendaraan
Disana juga ada warung yang menyediakan es teh, good day dll Dan sangat instagramable",positif,positif,positif
gunung pegat,Wisata Kuliner diatas gunung dengan pemandangan yang Indah bagus buat teman teman untuk selfie,positif,,
alun alun,Alun2nya bersih banyak permainan anak2 ditaman,positif,positif,
wbl,"parkir enak ad bbrp pohon dan juga luas, toilet gratis dan bersih",,positif,
wbl,"Disini panas banget siapin topi. Suka tempatnya bagus, sayangnya es krim kebanyakan cepet bgt abis siang jam 12 aja dah habis smua.",positif,negatif,
alun alun,Tempatnya bagus untuk santai,positif,,
pantai lorena,"Pantai pinggir jalan, mudah diakses, banyak penjual makanan,
kebersihan harus lebih dijaga pengunjung dan warung penjual makanan",,negatif,positif
pantai lorena,Bagus,,,
alun alun,"Anak saya senang klo diajak main ke alun alun lamongan, semoga kebersihan dan permainan2 nya yang ada bisa lebih dijaga lagi",,negatif,
goa maharani," Tersedia handsabitizer dan spray desinfektan di pintu masuk. Beragam satwa ada disana, bisa berfoto dengan beberapa satwa. Ada play ground gratis untuk anak2. Tersedia banyak stan makanan dan minuman.",positif,positif,
wbl,sangat bagus lokasinya dipinggir laut,positif,,
wego,"Kolam renang bagus, cuman wahana yg lain kurang pemeliharaan, terutama kursi pesawat terbang berkurang banyak ",positif,negatif,
wbl,Puas,,,
pantai lorena,pantainya terkotori dg aneka sampah makanan..padahal tempatnya enak..,,negatif,
gunung mas mantup,agak membosankan,negatif,,
pantai lorena,"Kalau surut enak ngajak anak2 cari ikan,. Pinggiran pantai masih kurang penataan,.",positif,negatif,
alun alun,"… Yg penting pihak pemda dan pengunjung menjaga kebersihan, terutama toilet yg sudah bagus. …",,positif,
alun alun,Kesana menarik sambil istirahat dan sholat Ashar berjamaah di masjid belakang alun alun.,positif,,
goa maharani,Sangat bagus dan terawat.. Pegawainya ramah2,,positif,
gunung pegat,"Keren, utk wisata kecil2an. Nyenengin anak2 biaya murah dan pemandangan bagus",positif,,
alun alun,tiap weekend gak pernah sepi. aneka mainan anak jg tersedia di kelilingi penjual nasi boran,positif,,
goa maharani,Terlalu mahal untuk tiket masuk,,,negatif
pantai kutang,"Di jembatan coba dikasih tempat sampah, pengunjung masih ada aja yang buang sampah sembarangan ke laut",,negatif,
gunung pegat,"Kuliner kurang,,banyak kios tutup...",,negatif,
gunung pegat,Aq belum kesini.... Hanya lihat foto saja....,,,
wbl,Tempat yang menyuguhkan berbagai macam wahana wisata untuk anak maupun dewasa yang berlokasikan didekat laut utara jawa,positif,,
pantai lorena,"Solusi Menghibur diri dan Keluarga untuk Menikmati panorama alam , Matahari terbit dan Terbenam",positif,,
alun alun,"Bagus alun alunx... ada taman bermain anak,ada masjidx, spot foto2x jg banyak, tempatx bersih",positif,positif,
alun alun,Bagus ada mainannya ,positif,,
wbl,"Berwisata.. bermain.. bersantai..
Touring.. playing.. relaxing..
Nice beach.. just having fun..
You must coming in..",positif,,
wbl,"Bagus lokasi pantai dan menaranya, tempat hewannya menarik meski banyakan hewan luar Indonesia",positif,,
alun alun,Luas nyaman ,,positif,
gunung mas mantup,Suasananya luas lapang dan cukup fresh,positif,,
wego,"Tempatnya luas, cocok buat rekreasi bersama keluarga besar, ada permainan anak2, kolam renang, tempat kemah juga ada",positif,,
waduk gondang,Tempat bagus & sejuk,positif,,
pantai lorena,Lebih bagus pas sore hari tmpatnya.. Kerennya dpt pas sore hari,positif,,
pantai lorena,"Baguss banget ada stand"" makanan enak""",,positif,
alun alun,Tempat yang pas untuk keluarga main kalau malam minggu.,positif,,
wbl,"Emezing
Cuma minuman kemasan MiLO 110 ml di dalam kemahalan,7000 k",,negatif,
alun alun,"tempat luas, fasilitas ada Playground,toilet umum,taman,kolam ikan, rekomended buat main bersama keluarga besar atau keluarga kecil.",positif,positif,
alun alun,Adem..nyaman..bersih...landscap..dibuat gradasi..turun naik..jadi bagus...untuk refreshing...,,positif,
wbl,Untuk makanan yg kurang mantap,,negatif,
alun alun,Bersih tempatnya gak rame juga,,positif,
alun alun,Tempat untuk bersama keluarga,positif,,
pantai kutang,Pantai dg pemandangan yg indah…,positif,,
wbl,Sistem petunjuk arah ke wisata bahari Lamongan mudah dipahami dan dapat diikuti dengan baik,,,positif
alun alun,"Alun2 merupakan ciri khas suatu daerah biasanya terdapat kantor pusat pemerintahan daerah , ada lapangan buat acara2 masyarakat sekitar , ada masjid raya dll",,positif,
alun alun,"Bagus,, bersih jg tempatnya",,positif,
alun alun,"Tempat buat jalan"" menikmati suasana kota Soto dengan keluarga.... ada tempat bermain untuk anak anak ",positif,,
alun alun,Bayak permainan buat anak2. Kalau anak saya ke alun2 lamongan.... kalau diajak pulang tu gak mau.... maunya main...... terus,positif,,
alun alun,Taman kota yang ikonik dengan lingkungan kantor pemerintahan Lamongan dan bianglala di tengah tamannya,positif,,
alun alun,Tempat yang bisa digunakan sebagai wahana rekreasi keluarga,positif,,
wbl,Bagus dan harga tiket masuk menyesuaikan,positif,,
wbl,Bagus dan bersih,,positif,
alun alun,"Tempat parkirnya mudah, sekarang ada stan makannya di sisi timur jadi lebih enak. Luas banget",,positif,
alun alun,Klasik…biasa saja,negatif,,
gunung pegat,Adeemm #GP,,,
gunung pegat,Indah,positif,,
wbl,Banyak sekali permainan dan spot foto nya bagus untuk tempat refreshingg,positif,,
alun alun,"Keren, Adiwiyata, WBL, Guyub Rukun, Lamongan Megilan, Kota Soto, Kota Boran, Tahu Campur dan masih banyak lainnya.",positif,,
pantai lorena,"Bagus untuk berswafoto, anak-anak bisa mencari ikan kecil-kecil di sela-sela karang memakai saringan ikan yang disewakan harga terjangkau",positif,positif,
goa maharani,Bagus,,,
wbl,Oke,,,
wbl,"Bagus, mainan lengkap hrg terjangkau. View bagus",positif,,
waduk gondang,indah dan mempesona.akses jalan mudah.,positif,,positif
alun alun,"Tempat bermain anak2, ... Yg menurut saya sangat OK",positif,,
gunung pegat,"Tempat nya luar biasa Bagus nya, fasilitas nya juga memanjakan pengunjung. Cocok untuk yang mau camping, pecinta gowes, anak-anak, maupun orang tua.
Setiap Minggu pagi juga ada pasar kuliner nya.",positif,positif,
alun alun,"Bersih, nyaman, tempatnya bagus",,positif,
alun alun," tempat nyaman, dekat dengan masjid. Sukaa.",,positif,
wbl,Safety wahananya kurang,,negatif,
alun alun,Nyaman buat nyantai,positif,,
wego,Lumayan bagus tempat nya,positif,,
alun alun,keren ada bianglalanya,positif,,
alun alun,sekarang permainan anak-anak banyak yang rusak.,,negatif,
goa maharani,Tolongg di gubris itu knp harimaunya kurusss bgt,negatif,,
wbl,"Akses jalan mulai bagus,perlu ditambah fasilitas kebersihan seperti tempat sampah dan perlu dijaga kebersihan area wisatanya",,negatif,positif
gunung mas mantup,"Tiket masuk tergolong terjangkau, tempat bersih, banyak spot foto",positif,positif,
wbl,Bagus,,,
alun alun,Bagus tp ada beberapa titik kurang terawat dan juga parkir yang masih memakai bahu jalan,,negatif,
gunung pegat,"Lumayan tempat rekreasi keluarga terdekat.
Untuk cari foto bagusnya pagi hari.
Cari sunrise atau malam.",positif,,positif
gunung pegat,Walaupun panas tapi asik bisa lihat pemandangan yg indah,positif,,
wbl,"Sangat menarik, dengan wahana permainan yang menantang dan menaikkan adrenalin dijamin memberikan pengalaman yang tidak terlupakan. Wbl jooosss ",positif,,
gunung mas mantup,"Untuk akses mobil bisa.
Wisata bekas tambang kapur yang bagus.
Banyak burung dara bikin anak kecil senang beri makan.
Untuk warung di dalam lokasi ada tapi menu mie.",positif,positif,positif
alun alun,Alaun alun ini adalah titik nol kota lamongan. Di sini paling terkenal makanan nasi boran yang di jual para ibu2 di sekitaran  alun alun,positif,,
goa maharani,"Tempatnya bagus dengan koleksi hewan yang lumayan lengkap & ada tempat bermain untuk anak², jd pasti sangat cocok buat pengetahuan anak tentang binatang",positif,,
alun alun,Kalau bisa permainan di tambah buat anak anak,negatif,,
goa maharani,Bagus n bersih buat anak2 edukasi bgus,positif,positif,
wbl,Kok semakin jorok tempatnya sekarang? Di tempat hewan onta dan kerbau (sejenisnya) kotorannya menumpuk dan baunya menyengat.. Dan beberapa tempat hewan lainnya juga bau.. Kasian hewan hewannya.. Mohon segera bisa di adakan pembersihan.. Biar hewannya nyaman.. Pengunjung juga nyaman,,negatif,
pantai lorena,Sejuk angin sepoi sepoi,positif,,
alun alun,Alun alun ini sangat bagus tempatnya sejuk dan indah,positif,,
pantai kutang,Ada rest area tepi laut dekat parkir  sebelum masuk ke area utama...,,positif,
goa maharani,"parkir cukup luas, harga murah dan terjangkau",,positif,
pantai lorena,"makanannya enaaak, yg paling nendang es dawet siwalannya beeeehh ga ada lawan perpaduan gula aren dan santannya paaaasss bgt",,positif,
goa maharani,sejak jaman sd sih kesini..baru ngulas aja.. bagus tempatnya. kek selalu jadi idola viewnya,positif,,
